,EUR,AUD,CAD,GBP,JPY,SEK,NOK,NZD,CHF,MXN,CLP,BRL,COP,PEN,KRW,IDR,INR,THB,PHP,SGD,PLN,HUF,CZK,ZAR,TRY
2006-12-14,,,1.1573,,,,,,1.2147,,,,,,,,,,,1.5411,,,,,
2006-12-15,,,1.1577,,118.16,,,,1.2213,,,,,,,,,,,1.542,,,,,
2006-12-18,,,1.157,,118.13,,,,1.2224,,,,,,,,,,,1.5476,,,,,
2006-12-19,,,1.1529,,118.1,,,,1.2139,,,,,,,,,,,1.5423,,,,,
2006-12-20,,,1.1488,,118.43,,,,1.2178,,,,,,,,,,,1.5389,,,,,
2006-12-21,,,1.1549,,118.33,,,,1.2163,,,,,,,,,,,1.5395,,,,,
2006-12-22,,,1.1583,,118.84,,,,1.2199,,,,,,,,,,,1.5418,,,,,
2006-12-25,,,1.1573,,118.73,,,,1.219,,,,,,,,,,,1.5416,,,,,
2006-12-26,,,1.1613,,119.14,,,,1.2232,,,,,,,,,,,1.5412,,,,,
2006-12-27,,,1.1618,,118.77,,,,1.2263,,,,,,,,,,,1.5364,,,,,
2006-12-28,,,1.1604,,118.91,,,,1.2215,,,,,,,,,,,1.5341,,,,,
2006-12-29,,,1.1658,,119.05,,,,1.219,,,,,,,,,,,1.5329,,,,,
2007-01-01,,,1.1655,,119.02,,,,1.2184,,,,,,,,,,,,,,,,
2007-01-02,,,1.1652,,118.83,,,,1.2134,,,,,,,,,,,1.5305,,,,,
2007-01-03,,,1.1732,,119.36,,,,1.2261,,,,,,,,,,,1.5346,,,,,
2007-01-04,,,1.1776,,119.04,,,,1.233,,,,,,,,,,,1.5365,,,,,
2007-01-05,,,1.1726,,118.62,,,,1.2358,,,,,,,,,,,1.5362,,,,,
2007-01-08,,,1.175,,118.8,,,,1.2365,,,,,,,,,,,1.538,,,,,
2007-01-09,,,1.1767,,119.38,,,,1.2413,,,,,,,,,,,1.5364,,,,,
2007-01-10,,,1.1741,,119.67,,,,1.2465,,,,,,,,,,,1.5354,,,,,
2007-01-11,,,1.1778,,120.49,,,,1.2495,,,,,,,,,,,1.5444,,,,,
2007-01-12,,,1.1699,,120.32,,,,1.247,,,,,,,,,,,1.5422,,,,,
2007-01-15,,,1.1679,,120.43,,,,1.2487,,,,,,,,,,,1.5413,,,,,
2007-01-16,,,1.1758,,120.66,,,,1.2484,,,,,,,,,,,1.5388,,,,,
2007-01-17,,,1.1725,,120.66,,,,1.2472,,,,,,,,,,,1.5375,,,,,
2007-01-18,,,1.174,,121.21,,,,1.2468,,,,,,,,,,,1.5365,,,,,
2007-01-19,,,1.1723,,121.22,,,,1.2479,,,,,,,,,,,1.5373,,,,,
