date,duoarea,value_mmbbl
2019-03-01,NUS,452.934
2019-03-01,R10,11.089
2019-03-01,R20,140.004
2019-03-01,R30,227.47
2019-03-01,R40,20.82
2019-03-01,R50,53.551
2019-03-08,NUS,449.072
2019-03-08,R10,14.218
2019-03-08,R20,141.365
2019-03-08,R30,222.146
2019-03-08,R40,20.893
2019-03-08,R50,50.45
2019-03-15,NUS,439.483
2019-03-15,R10,14.243
2019-03-15,R20,139.516
2019-03-15,R30,213.527
2019-03-15,R40,21.236
2019-03-15,R50,50.961
2019-03-22,NUS,442.283
2019-03-22,R10,14.364
2019-03-22,R20,137.97
2019-03-22,R30,218.105
2019-03-22,R40,21.891
2019-03-22,R50,49.952
2019-03-29,NUS,449.521
2019-03-29,R10,13.659
2019-03-29,R20,138.111
2019-03-29,R30,226.837
2019-03-29,R40,22.445
2019-03-29,R50,48.469
2019-04-05,NUS,456.55
2019-04-05,R10,13.2
2019-04-05,R20,137.692
2019-04-05,R30,232.23
2019-04-05,R40,23.196
2019-04-05,R50,50.232
2019-04-12,NUS,455.154
2019-04-12,R10,12.448
2019-04-12,R20,135.271
2019-04-12,R30,233.677
2019-04-12,R40,23.737
2019-04-12,R50,50.02
2019-04-19,NUS,460.633
2019-04-19,R10,15.022
2019-04-19,R20,135.218
2019-04-19,R30,235.432
2019-04-19,R40,24.174
2019-04-19,R50,50.789
2019-04-26,NUS,470.567
2019-04-26,R10,14.398
2019-04-26,R20,135.565
2019-04-26,R30,244.604
2019-04-26,R40,23.963
2019-04-26,R50,52.036
2019-05-03,NUS,466.604
2019-05-03,R10,13.067
2019-05-03,R20,137.228
2019-05-03,R30,239.847
2019-05-03,R40,23.916
2019-05-03,R50,52.547
2019-05-10,NUS,472.035
2019-05-10,R10,13.753
2019-05-10,R20,139.172
2019-05-10,R30,242.773
2019-05-10,R40,23.355
2019-05-10,R50,52.981
2019-05-17,NUS,476.775
2019-05-17,R10,13.285
2019-05-17,R20,142.428
2019-05-17,R30,245.65
2019-05-17,R40,23.087
2019-05-17,R50,52.325
2019-05-24,NUS,476.493
2019-05-24,R10,14.154
2019-05-24,R20,142.606
2019-05-24,R30,244.852
2019-05-24,R40,23.642
2019-05-24,R50,51.241
2019-05-31,NUS,483.264
2019-05-31,R10,15.069
2019-05-31,R20,143.91
2019-05-31,R30,248.317
2019-05-31,R40,23.579
2019-05-31,R50,52.387
2019-06-07,NUS,485.47
2019-06-07,R10,15.257
2019-06-07,R20,145.806
2019-06-07,R30,247.108
2019-06-07,R40,23.466
2019-06-07,R50,53.833
2019-06-14,NUS,482.364
2019-06-14,R10,16.218
2019-06-14,R20,146.554
2019-06-14,R30,241.278
2019-06-14,R40,23.295
2019-06-14,R50,55.02
2019-06-21,NUS,469.576
2019-06-21,R10,13.999
2019-06-21,R20,144.213
2019-06-21,R30,235.018
2019-06-21,R40,22.593
2019-06-21,R50,53.754
2019-06-28,NUS,468.491
2019-06-28,R10,16.267
2019-06-28,R20,143.795
2019-06-28,R30,234.733
