date,duoarea,value_mmbbl,seasonal_lo,seasonal_hi,pct_of_range
2025-06-13,NUS,420.942,418.328,540.722,2.1
2025-06-13,R10,9.291,7.326,12.525,37.8
2025-06-13,R20,102.873,102.239,137.978,1.8
2025-06-13,R30,234.87,236.963,307.996,-2.9
2025-06-13,R40,23.815,23.877,26.074,-2.8
2025-06-13,R50,50.094,45.054,56.751,43.1
2025-06-20,NUS,415.106,415.566,540.722,-0.4
2025-06-20,R10,9.091,7.457,12.525,32.2
2025-06-20,R20,102.262,100.948,137.978,3.5
2025-06-20,R30,229.864,236.152,307.996,-8.8
2025-06-20,R40,23.845,23.636,25.608,10.6
2025-06-20,R50,50.045,45.054,56.751,42.7
2025-06-27,NUS,418.951,415.566,540.722,2.7
2025-06-27,R10,8.901,7.518,12.525,27.6
2025-06-27,R20,102.975,100.948,137.942,5.5
2025-06-27,R30,234.906,236.152,309.016,-1.7
2025-06-27,R40,23.421,23.4,25.627,0.9
2025-06-27,R50,48.748,43.912,56.751,37.7
2025-07-04,NUS,426.021,423.8,539.181,1.9
2025-07-04,R10,9.186,6.931,13.064,36.8
2025-07-04,R20,102.552,103.181,137.174,-1.9
2025-07-04,R30,240.749,236.498,309.016,5.9
2025-07-04,R40,24.235,23.218,25.627,42.2
2025-07-04,R50,49.299,43.912,56.214,43.8
2025-07-11,NUS,422.162,426.609,539.181,-4.0
2025-07-11,R10,9.366,6.931,13.22,38.7
2025-07-11,R20,101.538,103.341,137.504,-5.3
2025-07-11,R30,238.774,236.498,309.016,3.1
2025-07-11,R40,23.898,22.375,25.627,46.8
2025-07-11,R50,48.586,46.089,56.214,24.7
2025-07-18,NUS,418.993,422.086,536.58,-2.7
2025-07-18,R10,8.694,7.458,13.22,21.5
2025-07-18,R20,102.74,104.288,139.735,-4.4
2025-07-18,R30,237.802,238.398,305.969,-0.9
2025-07-18,R40,23.083,22.375,25.581,22.1
2025-07-18,R50,46.675,45.229,54.75,15.2
2025-07-25,NUS,426.691,422.086,536.58,4.0
2025-07-25,R10,8.317,7.256,13.22,17.8
2025-07-25,R20,103.562,104.288,140.217,-2.0
2025-07-25,R30,243.85,237.682,305.969,9.0
2025-07-25,R40,23.052,22.532,25.412,18.1
2025-07-25,R50,47.91,45.044,54.476,30.4
2025-08-01,NUS,423.662,426.553,525.969,-2.9
2025-08-01,R10,8.498,7.256,12.669,22.9
2025-08-01,R20,103.86,107.751,142.39,-11.2
2025-08-01,R30,242.232,237.682,295.507,7.9
2025-08-01,R40,22.764,22.824,25.364,-2.4
2025-08-01,R50,46.307,45.044,53.875,14.3
2025-08-08,NUS,426.698,424.954,518.596,1.9
2025-08-08,R10,8.637,7.882,11.975,18.4
2025-08-08,R20,102.355,108.124,142.39,-16.8
2025-08-08,R30,248.448,234.876,288.121,25.5
2025-08-08,R40,22.817,22.824,25.364,-0.3
2025-08-08,R50,44.443,45.372,54.417,-10.3
2025-08-15,NUS,420.684,421.672,514.084,-1.1
2025-08-15,R10,8.523,7.04,11.765,31.4
2025-08-15,R20,104.097,106.6,142.39,-7.0
2025-08-15,R30,240.911,233.14,281.416,16.1
2025-08-15,R40,22.424,22.402,25.364,0.7
2025-08-15,R50,44.729,45.156,54.417,-4.6
2025-08-22,NUS,418.292,418.346,512.452,-0.1
2025-08-22,R10,7.982,6.736,12.019,23.6
2025-08-22,R20,103.664,105.131,141.833,-4.0
2025-08-22,R30,239.758,230.6,279.175,18.9
2025-08-22,R40,21.872,22.093,25.265,-7.0
2025-08-22,R50,45.017,45.156,54.417,-1.5
2025-08-29,NUS,420.707,416.637,507.763,4.5
2025-08-29,R10,7.691,6.736,12.156,17.6
2025-08-29,R20,105.793,104.1,141.323,4.5
2025-08-29,R30,239.388,228.007,276.721,23.4
2025-08-29,R40,22.187,22.093,25.265,3.0
2025-08-29,R50,45.648,45.528,54.366,1.4
2025-09-05,NUS,424.646,416.637,500.434,9.6
2025-09-05,R10,7.182,6.938,12.156,4.7
2025-09-05,R20,104.131,101.7,141.098,6.2
2025-09-05,R30,244.88,224.156,269.394,45.8
2025-09-05,R40,22.576,21.861,24.587,26.2
2025-09-05,R50,45.877,45.528,54.366,3.9
2025-09-12,NUS,415.361,413.964,500.434,1.6
2025-09-12,R10,7.373,7.174,12.156,4.0
2025-09-12,R20,102.954,99.47,141.098,8.4
2025-09-12,R30,237.426,223.902,269.394,29.7
2025-09-12,R40,22.588,21.861,23.954,34.7
2025-09-12,R50,45.019,46.102,54.366,-13.1
2025-09-19,NUS,414.754,413.042,496.045,2.1
