date,duoarea,value_mmbbl
2018-12-28,NUS,129.431
2018-12-28,R10,40.437
2018-12-28,R20,31.686
2018-12-28,R30,40.622
2018-12-28,R40,4.113
2018-12-28,R50,12.573
2019-01-04,NUS,140.042
2019-01-04,R10,43.116
2019-01-04,R20,34.966
2019-01-04,R30,44.322
2019-01-04,R40,4.207
2019-01-04,R50,13.431
2019-01-11,NUS,143.009
2019-01-11,R10,46.808
2019-01-11,R20,34.446
2019-01-11,R30,43.598
2019-01-11,R40,4.249
2019-01-11,R50,13.908
2019-01-18,NUS,142.392
2019-01-18,R10,46.054
2019-01-18,R20,35.066
2019-01-18,R30,42.576
2019-01-18,R40,4.181
2019-01-18,R50,14.515
2019-01-25,NUS,141.27
2019-01-25,R10,46.917
2019-01-25,R20,35.23
2019-01-25,R30,40.589
2019-01-25,R40,4.128
2019-01-25,R50,14.406
2019-02-01,NUS,139.013
2019-02-01,R10,43.938
2019-02-01,R20,34.957
2019-02-01,R30,41.859
2019-02-01,R40,4.141
2019-02-01,R50,14.118
2019-02-08,NUS,140.2
2019-02-08,R10,43.89
2019-02-08,R20,33.487
2019-02-08,R30,44.847
2019-02-08,R40,4.307
2019-02-08,R50,13.669
2019-02-15,NUS,138.683
2019-02-15,R10,44.429
2019-02-15,R20,33.614
2019-02-15,R30,42.425
2019-02-15,R40,4.262
2019-02-15,R50,13.953
2019-02-22,NUS,138.379
2019-02-22,R10,45.022
2019-02-22,R20,32.855
2019-02-22,R30,42.733
2019-02-22,R40,4.223
2019-02-22,R50,13.546
2019-03-01,NUS,135.986
2019-03-01,R10,42.434
2019-03-01,R20,32.593
2019-03-01,R30,43.377
2019-03-01,R40,4.17
2019-03-01,R50,13.413
2019-03-08,NUS,136.369
2019-03-08,R10,42.721
2019-03-08,R20,33.054
2019-03-08,R30,42.528
2019-03-08,R40,3.946
2019-03-08,R50,14.121
2019-03-15,NUS,132.242
2019-03-15,R10,39.748
2019-03-15,R20,32.933
2019-03-15,R30,41.554
2019-03-15,R40,3.829
2019-03-15,R50,14.178
2019-03-22,NUS,130.167
2019-03-22,R10,39.449
2019-03-22,R20,33.529
2019-03-22,R30,39.989
2019-03-22,R40,3.565
2019-03-22,R50,13.636
2019-03-29,NUS,128.169
2019-03-29,R10,39.567
2019-03-29,R20,33.408
2019-03-29,R30,38.349
2019-03-29,R40,3.777
2019-03-29,R50,13.067
2019-04-05,NUS,128.053
2019-04-05,R10,38.166
2019-04-05,R20,34.203
2019-04-05,R30,38.547
2019-04-05,R40,3.666
2019-04-05,R50,13.473
2019-04-12,NUS,127.691
2019-04-12,R10,37.204
2019-04-12,R20,34.381
2019-04-12,R30,39.233
2019-04-12,R40,3.569
2019-04-12,R50,13.304
2019-04-19,NUS,127.029
2019-04-19,R10,36.946
2019-04-19,R20,33.596
2019-04-19,R30,39.322
2019-04-19,R40,3.485
2019-04-19,R50,13.68
2019-04-26,NUS,125.722
2019-04-26,R10,37.204
2019-04-26,R20,33.437
2019-04-26,R30,39.407
2019-04-26,R40,3.39
2019-04-26,R50,12.285
2019-05-03,NUS,125.563
2019-05-03,R10,37.979
2019-05-03,R20,33.264
2019-05-03,R30,38.189
2019-05-03,R40,3.429
2019-05-03,R50,12.703
2019-05-10,NUS,125.647
2019-05-10,R10,36.348
2019-05-10,R20,33.848
2019-05-10,R30,39.388
2019-05-10,R40,3.643
2019-05-10,R50,12.419
2019-05-17,NUS,126.415
2019-05-17,R10,38.158
2019-05-17,R20,33.596
2019-05-17,R30,38.532
2019-05-17,R40,3.83
2019-05-17,R50,12.299
2019-05-24,NUS,124.8
2019-05-24,R10,37.211
2019-05-24,R20,32.592
2019-05-24,R30,38.765
2019-05-24,R40,3.768
2019-05-24,R50,12.464
2019-05-31,NUS,129.372
2019-05-31,R10,40.812
2019-05-31,R20,33.328
2019-05-31,R30,37.81
2019-05-31,R40,4.216
2019-05-31,R50,13.207
2019-06-07,NUS,128.372
2019-06-07,R10,41.536
2019-06-07,R20,32.459
2019-06-07,R30,36.674
2019-06-07,R40,4.183
2019-06-07,R50,13.521
2019-06-14,NUS,127.821
2019-06-14,R10,42.276
2019-06-14,R20,32.124
2019-06-14,R30,36.372
2019-06-14,R40,4.536
2019-06-14,R50,12.513
2019-06-21,NUS,125.38
2019-06-21,R10,43.074
2019-06-21,R20,31.373
2019-06-21,R30,34.405
2019-06-21,R40,4.424
2019-06-21,R50,12.102
2019-06-28,NUS,126.788
2019-06-28,R10,42.751
2019-06-28,R20,31.667
2019-06-28,R30,35.988
2019-06-28,R40,4.184
2019-06-28,R50,12.2
2019-07-05,NUS,130.517
2019-07-05,R10,44.364
2019-07-05,R20,32.626
2019-07-05,R30,37.089
2019-07-05,R40,3.979
2019-07-05,R50,12.46
2019-07-12,NUS,136.203
2019-07-12,R10,45.072
2019-07-12,R20,34.411
2019-07-12,R30,39.247
2019-07-12,R40,3.897
2019-07-12,R50,13.577
2019-07-19,NUS,136.816
