date,duoarea,value_mmbbl,seasonal_lo,seasonal_hi,pct_of_range
2025-04-11,NUS,109.231,108.735,143.464,1.4
2025-04-11,R10,24.697,24.726,46.737,-0.1
2025-04-11,R20,29.074,27.616,32.313,31.0
2025-04-11,R30,40.015,38.716,51.345,10.3
2025-04-11,R40,4.002,3.616,4.766,33.6
2025-04-11,R50,11.444,11.324,15.006,3.3
2025-04-18,NUS,106.878,107.286,142.391,-1.2
2025-04-18,R10,23.698,24.724,45.159,-5.0
2025-04-18,R20,27.134,27.023,32.313,2.1
2025-04-18,R30,40.559,37.734,51.345,20.8
2025-04-18,R40,3.972,3.622,4.715,32.0
2025-04-18,R50,11.516,11.324,15.006,5.2
2025-04-25,NUS,107.815,104.942,151.49,6.2
2025-04-25,R10,24.554,22.395,48.807,8.2
2025-04-25,R20,26.009,26.408,32.295,-6.8
2025-04-25,R30,41.958,37.734,51.582,30.5
2025-04-25,R40,4.005,3.503,4.594,46.0
2025-04-25,R50,11.289,11.438,15.006,-4.2
2025-05-02,NUS,106.708,104.029,155.001,5.3
2025-05-02,R10,24.254,21.33,52.086,9.5
2025-05-02,R20,24.723,25.015,34.125,-3.2
2025-05-02,R30,42.73,38.701,51.582,31.3
2025-05-02,R40,3.931,3.378,4.288,60.8
2025-05-02,R50,11.07,11.384,14.766,-9.3
2025-05-09,NUS,103.553,104.029,158.832,-0.9
2025-05-09,R10,22.608,21.33,53.975,3.9
2025-05-09,R20,23.775,24.145,35.682,-3.2
2025-05-09,R30,42.392,38.701,51.582,28.7
2025-05-09,R40,3.998,3.378,4.304,67.0
2025-05-09,R50,10.78,11.384,14.766,-17.9
2025-05-16,NUS,104.132,105.264,164.327,-1.9
2025-05-16,R10,22.617,21.559,57.868,2.9
2025-05-16,R20,24.184,24.126,35.682,0.5
2025-05-16,R30,43.166,39.601,52.492,27.7
2025-05-16,R40,3.898,3.261,4.304,61.1
2025-05-16,R50,10.265,11.12,14.021,-29.5
2025-05-23,NUS,103.408,105.672,174.261,-3.3
2025-05-23,R10,23.559,20.966,62.191,6.3
2025-05-23,R20,23.383,24.126,37.932,-5.4
2025-05-23,R30,42.958,40.133,55.281,18.6
2025-05-23,R40,3.706,3.261,4.304,42.7
2025-05-23,R50,9.802,10.422,14.605,-14.8
2025-05-30,NUS,107.638,106.392,175.829,1.8
